address,name,mode,confidence
0x0801F030,FUN_0801f030,thumb,structured-entry+return+exact-body
0x0801F058,FUN_0801f058,thumb,structured-entry+return+exact-body
0x0801F080,FUN_0801f080,thumb,rom-pointer
0x0801F128,FUN_0801f128,thumb,rom-pointer
0x0801F1D0,FUN_0801f1d0,thumb,rom-pointer
0x0801F274,FUN_0801f274,thumb,rom-pointer
0x0801F308,FUN_0801f308,thumb,rom-pointer+exact-body
0x0801F31C,FUN_0801f31c,thumb,rom-pointer+exact-body
0x0801F350,FUN_0801f350,thumb,rom-pointer
0x0801F3A4,FUN_0801f3a4,thumb,rom-pointer+exact-body
0x0801F3B0,FUN_0801f3b0,thumb,rom-pointer+exact-body
0x0801F3E4,FUN_0801f3e4,thumb,rom-pointer+exact-body
0x0801F418,FUN_0801f418,thumb,rom-pointer+exact-body
0x0801F448,FUN_0801f448,thumb,rom-pointer+exact-body
0x0801F474,FUN_0801f474,thumb,rom-pointer+exact-body
0x0801F4F4,FUN_0801f4f4,thumb,rom-pointer+exact-body
0x0801F524,FUN_0801f524,thumb,recursive-disassembly
0x0801F578,FUN_0801f578,thumb,direct-call
0x0801F5EC,FUN_0801f5ec,thumb,direct-call+exact-body
0x0801F600,FUN_0801f600,thumb,direct-call+exact-body
0x0801F60C,FUN_0801f60c,thumb,direct-call+exact-body
0x0801F618,FUN_0801f618,thumb,direct-call+exact-body
0x0801F628,FUN_0801f628,thumb,structured-entry+return+exact-body
0x0801F638,FUN_0801f638,thumb,direct-call+exact-body
0x0801F644,FUN_0801f644,thumb,direct-call+exact-body
0x0801F66C,FUN_0801f66c,thumb,direct-call+exact-body
0x0801F6A0,FUN_0801f6a0,thumb,direct-call+exact-body
0x0801F6D4,FUN_0801f6d4,thumb,structured-entry+return+exact-body
0x0801F700,FUN_0801f700,thumb,structured-entry+return+exact-body
0x0801F70C,FUN_0801f70c,thumb,structured-entry+return+exact-body
0x0801F718,FUN_0801f718,thumb,direct-call+exact-body
0x0801F744,FUN_0801f744,thumb,direct-call+exact-body
0x0801F770,FUN_0801f770,thumb,direct-call+exact-body
0x0801F780,FUN_0801f780,thumb,direct-call+exact-body
0x0801F7D0,FUN_0801f7d0,thumb,direct-call+exact-body
0x0801F89C,FUN_0801f89c,thumb,direct-call+exact-body
0x0801F8C0,FUN_0801f8c0,thumb,direct-call+exact-body
0x0801F914,FUN_0801f914,thumb,direct-call+exact-body
0x0801F92C,FUN_0801f92c,thumb,direct-call+exact-body
0x0801F978,FUN_0801f978,thumb,direct-call+exact-body
0x0801F9A8,FUN_0801f9a8,thumb,direct-call+exact-body
0x0801F9D8,FUN_0801f9d8,thumb,rom-pointer+exact-body
